ECT,RPM,label,split,original_index
3.125,25.0,anomaly,test,163102
4.6875,25.0,anomaly,test,163103
4.6875,24.0,anomaly,test,163104
4.6875,24.0,anomaly,test,163105
4.6875,24.0,anomaly,test,163106
5.46875,26.0,anomaly,test,163107
5.46875,26.0,anomaly,test,163108
5.46875,26.0,anomaly,test,163109
5.46875,26.0,anomaly,test,163110
5.46875,25.0,anomaly,test,163111
5.46875,25.0,anomaly,test,163112
5.46875,25.0,anomaly,test,163113
5.46875,25.0,anomaly,test,163114
6.25,25.0,anomaly,test,163115
6.25,25.0,anomaly,test,163116
6.25,25.0,anomaly,test,163117
3.125,24.0,anomaly,test,163118
3.125,24.0,anomaly,test,163119
3.125,24.0,anomaly,test,163120
3.125,24.0,anomaly,test,163121
6.25,24.0,anomaly,test,163122
6.25,24.0,anomaly,test,163123
6.25,24.0,anomaly,test,163124
6.25,24.0,anomaly,test,163125
3.125,23.0,anomaly,test,163126
3.125,23.0,anomaly,test,163127
3.125,23.0,anomaly,test,163128
3.125,23.0,anomaly,test,163129
3.125,21.0,anomaly,test,163130
3.125,21.0,anomaly,test,163131
3.125,21.0,anomaly,test,163132
3.125,18.0,anomaly,test,163133
3.125,18.0,anomaly,test,163134
3.125,18.0,anomaly,test,163135
3.125,18.0,anomaly,test,163136
3.125,14.0,anomaly,test,163137
3.125,14.0,anomaly,test,163138
3.125,14.0,anomaly,test,163139
0.0,14.0,anomaly,test,163140
0.0,10.0,anomaly,test,163141
0.0,10.0,anomaly,test,163142
0.0,10.0,anomaly,test,163143
1.5625,15.0,anomaly,test,163144
1.5625,15.0,anomaly,test,163145
1.5625,15.0,anomaly,test,163146
1.5625,15.0,anomaly,test,163147
2.34375,20.0,anomaly,test,163148
2.34375,20.0,anomaly,test,163149
2.34375,20.0,anomaly,test,163150
5.46875,20.0,anomaly,test,163151
5.46875,24.0,anomaly,test,163152
5.46875,24.0,anomaly,test,163153
5.46875,24.0,anomaly,test,163154
4.6875,26.0,anomaly,test,163155
